Species	Category	Rate
Chick	Phage	0.02621
Chick	Phage	0.05334
Chick	Phage	0.04536
Chick	Phage	0.02285
Chick	Phage	0.022
Chick	Phage	0.02218
Chick	Phage	0.01829
Chick	Phage	0.02224
Chick	Phage	0.03029
Chick	Phage	0.03543
Chick	Phage	0.03312
Chick	Phage	0.04359
Chick	Phage	0.03127
Chick	Phage	0.007
Chick	Phage	0.03314
Chick	Phage	0.02887
Chick	Phage	0.04667
Chick	Phage	0.02466
Chick	Phage	0.0389
Chick	Phage	0.02662
Chick	Phage	0.01501
Chick	Phage	0.03966
Chick	Phage	0.03182
Chick	Phage	0.03529
Chick	Phage	0.02679
Chick	Phage	0.00386
Chick	Phage	0.04179
Chick	Phage	0.03833
Chick	Phage	0.04382
Chick	Phage	0.01776
Chick	Phage	0.03497
Chick	Phage	0.04765
Chick	Phage	0.02385
Chick	Phage	0.02746
Chick	Phage	0.03947
Chick	Phage	0.06261
Chick	Phage	0.02498
Chick	Phage	0.07647
Chick	Phage	0.05161
Chick	Phage	0.03321
Chick	Phage	0.03073
Chick	Phage	0.03067
Chick	Phage	0.08508
Chick	Phage	0.03426
Chick	Phage	0.03103
Chick	Phage	0.01493
Chick	Phage	0.07064
Chick	Phage	0.01917
Chick	Phage	0.03785
Chick	Bacteria	0.58249
Chick	Bacteria	0.42296
Chick	Bacteria	0.25949
Chick	Bacteria	0.29329
Chick	Bacteria	0.59854
Chick	Bacteria	0.61887
Chick	Bacteria	0.41601
Chick	Bacteria	0.64962
Chick	Bacteria	0.65252
Chick	Bacteria	0.65833
Chick	Bacteria	0.5907
Chick	Bacteria	0.52557
Chick	Bacteria	0.59775
Chick	Bacteria	0.65532
Chick	Bacteria	0.66408
Chick	Bacteria	0.62885
Chick	Bacteria	0.60966
Chick	Bacteria	0.66609
Chick	Bacteria	0.36037
Chick	Bacteria	0.65549
Chick	Bacteria	0.2626
Chick	Bacteria	0.44617
Chick	Bacteria	0.61961
Chick	Bacteria	0.39354
Chick	Bacteria	0.62163
Chick	Bacteria	0.57599
Chick	Bacteria	0.35087
Chick	Bacteria	0.27904
Chick	Bacteria	0.64578
Chick	Bacteria	0.30802
Chick	Bacteria	0.53727
Chick	Bacteria	0.34263
Chick	Bacteria	0.37238
Chick	Bacteria	0.45402
Chick	Bacteria	0.53623
Chick	Bacteria	0.64089
Chick	Bacteria	0.18616
Chick	Bacteria	0.3284
Chick	Bacteria	0.62146
