otu,otu_occ,otu_rel,fill,Group,Group2
chick_phage_758,0.201533406,5.51E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_131,0.157721796,0.000140747,Compartments,Chicken,Chicken-Compartments
chick_phage_7,0.17524644,0.000153949,Compartments,Chicken,Chicken-Compartments
chick_phage_401,0.381161008,2.76E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2978,0.492880613,0.000187301,Compartments,Chicken,Chicken-Compartments
chick_phage_636,0.235487404,1.07E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3721,0.189485214,3.78E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_5795,0.089813801,5.98E-06,no,Chicken,Chicken-no
chick_phage_5593,0.147864184,6.74E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_683,0.295728368,2.38E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1848,0.680175246,1.75E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_764,0.192771084,2.50E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3725,0.364731654,8.29E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_150,0.170865279,4.00E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_140,0.084337349,0.000121662,no,Chicken,Chicken-no
chick_phage_4396,0.886089814,0.000441915,Compartments,Chicken,Chicken-Compartments
chick_phage_54,0.235487404,0.000151873,Compartments,Chicken,Chicken-Compartments
chick_phage_537,0.161007667,4.76E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1393,0.094194962,1.04E-05,no,Chicken,Chicken-no
chick_phage_467,0.273822563,0.000192497,Compartments,Chicken,Chicken-Compartments
chick_phage_2764,0.360350493,3.01E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_87,0.190580504,0.000353368,Compartments,Chicken,Chicken-Compartments
chick_phage_1272,0.152245345,2.17E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3291,0.227820372,2.16E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2896,0.250821468,9.28E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_42,0.750273823,0.000665427,Compartments,Chicken,Chicken-Compartments
chick_phage_5247,0.159912377,1.23E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_379,0.631982475,0.00012152,Compartments,Chicken,Chicken-Compartments
chick_phage_1769,0.524644031,1.62E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_200,0.354874042,0.000299809,Compartments,Chicken,Chicken-Compartments
chick_phage_1273,0.095290252,1.09E-05,no,Chicken,Chicken-no
chick_phage_59,0.121577218,0.0002497,Compartments,Chicken,Chicken-Compartments
chick_phage_5343,0.612267251,3.45E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_750,0.238773275,6.76E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_4772,0.166484118,3.67E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_1211,0.212486309,1.41E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_5140,0.204819277,1.89E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_475,0.099671413,2.90E-05,no,Chicken,Chicken-no
chick_phage_194,0.145673604,1.22E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2535,0.501642935,3.07E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3986,0.08762322,8.03E-06,no,Chicken,Chicken-no
chick_phage_1099,0.283680175,0.000123657,Compartments,Chicken,Chicken-Compartments
chick_phage_523,0.191675794,1.53E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_5520,0.513691128,1.45E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3635,0.145673604,0.000119333,Compartments,Chicken,Chicken-Compartments
chick_phage_1357,0.892661555,0.002983731,Compartments,Chicken,Chicken-Compartments
