Phage,Host,Source
172359.1515,45119.79239,Chicken
61964.51649,112.32101,Chicken
95273.52694,724.400603,Chicken
36431.26374,43499.47177,Chicken
2407.895797,904.179613,Chicken
205053.625,163005.9135,Chicken
1893.676343,748.568587,Chicken
2227.958304,42.834606,Chicken
99351.02742,86876.03181,Chicken
99848.71441,25146.94775,Chicken
118048.4518,50702.28139,Chicken
203321.8383,276809.9152,Chicken
77992.06992,25496.01888,Chicken
92937.59057,36083.95265,Chicken
4838.42987,748.986585,Chicken
22015.58029,6918.374616,Chicken
102250.41,45018.73498,Chicken
845.214777,124.410572,Chicken
229212.9919,146694.6827,Chicken
124224.6455,63509.38407,Chicken
176827.3591,57264.50898,Chicken
25282.86944,7416.843271,Chicken
363731.4964,354489.0708,Chicken
430541.8206,277483.5045,Chicken
143665.3269,72065.35941,Chicken
133308.1985,137300.4768,Chicken
61436.79983,18523.10162,Chicken
219235.9609,130636.1171,Chicken
182349.7716,94759.43197,Chicken
57934.7257,15374.35128,Chicken
6181.164059,2672.917809,Chicken
18255.54335,6597.715057,Chicken
116290.7358,44175.92063,Chicken
75419.25351,112133.3669,Chicken
136947.8795,92042.5839,Chicken
119077.9868,85762.32708,Chicken
38848.91183,9407.561981,Chicken
311986.1388,181896.6274,Chicken
156706.3259,79103.11374,Chicken
225751.7249,72784.9739,Chicken
90794.6444,60528.62846,Chicken
55576.87143,8781.419972,Chicken
74064.88262,20771.20906,Chicken
79308.55053,27005.50088,Chicken
217.866154,96.228674,Chicken
91944.13,92381.38253,Chicken
27334.34,125550.649,Chicken
51851.64217,23162.45314,Chicken
123659.05,92613.25535,Chicken
53213.43202,3678.708458,Chicken
123710.6464,80852.24152,Chicken
316.764564,257.870816,Chicken
307.67418,63.586996,Chicken
21820.33,158335.034,Chicken
86487.47698,103875.3468,Chicken
22968.01478,3497.500011,Chicken
31574.15888,13692.93263,Chicken
9731.153145,4919.477756,Chicken
1817.365776,590.403212,Chicken
9237.572434,2043.109963,Chicken
57281.63272,23794.0369,Chicken
115756.4031,132314.3487,Chicken
11629.97952,3994.34921,Chicken
225021.9691,408690.0691,Chicken
13621.29073,4476.707532,Chicken
5871.386807,2945.561468,Chicken
5946.897965,2297.259636,Chicken
4829.782829,4473.106049,Chicken
8041.629242,2479.823153,Chicken
25612.36562,11497.58929,Chicken
277.184596,104.059476,Chicken
15750.0644,7843.787093,Chicken
58662.52783,20934.54598,Chicken
82721.28378,4386.338559,Chicken
49838.51499,17247.80367,Chicken
118116.1887,48810.15468,Chicken
354799.8769,444257.9364,Chicken
329788.9969,382696.009,Chicken
41017.89525,16525.66833,Chicken
5061.603836,1310.269948,Chicken
195539.3836,178685.8121,Chicken
