newid	family
chick_phage_686	Casjensviridae
chick_phage_687	Peduoviridae
chick_phage_688	Salasmaviridae
chick_phage_689	Salasmaviridae
chick_phage_690	Rountreeviridae
chick_phage_691	Salasmaviridae
chick_phage_692	Salasmaviridae
chick_phage_693	Podoviridae
chick_phage_694	Siphoviridae
chick_phage_695	Orlajensenviridae
chick_phage_696	Salasmaviridae
chick_phage_697	Orlajensenviridae
chick_phage_698	Siphoviridae
chick_phage_699	Salasmaviridae
chick_phage_700	Podoviridae
chick_phage_701	Orlajensenviridae
chick_phage_702	Salasmaviridae
chick_phage_703	Salasmaviridae
chick_phage_704	Salasmaviridae
chick_phage_705	Rountreeviridae
chick_phage_706	Unknown
chick_phage_707	Orlajensenviridae
chick_phage_708	Salasmaviridae
chick_phage_709	Siphoviridae
chick_phage_710	Guelinviridae
chick_phage_711	Casjensviridae
chick_phage_712	Siphoviridae
chick_phage_713	Salasmaviridae
chick_phage_714	Siphoviridae
chick_phage_715	Rountreeviridae
chick_phage_716	Rountreeviridae
chick_phage_717	Salasmaviridae
chick_phage_718	Rountreeviridae
chick_phage_719	Salasmaviridae
chick_phage_720	Salasmaviridae
chick_phage_721	Salasmaviridae
chick_phage_722	Salasmaviridae
chick_phage_723	Salasmaviridae
chick_phage_725	Rountreeviridae
chick_phage_726	Salasmaviridae
chick_phage_727	Guelinviridae
chick_phage_728	Straboviridae
chick_phage_729	Salasmaviridae
chick_phage_730	Myoviridae
chick_phage_731	Salasmaviridae
chick_phage_732	Salasmaviridae
chick_phage_733	Salasmaviridae
chick_phage_734	Salasmaviridae
chick_phage_735	Salasmaviridae
chick_phage_736	Salasmaviridae
chick_phage_737	Salasmaviridae
chick_phage_738	Unknown
chick_phage_739	Salasmaviridae
chick_phage_740	Rountreeviridae
chick_phage_741	Salasmaviridae
chick_phage_742	Salasmaviridae
chick_phage_743	Orlajensenviridae
chick_phage_744	Rountreeviridae
chick_phage_745	Myoviridae
chick_phage_746	Salasmaviridae
chick_phage_747	Salasmaviridae
chick_phage_748	Orlajensenviridae
chick_phage_749	Salasmaviridae
chick_phage_750	Rountreeviridae
chick_phage_751	Rountreeviridae
chick_phage_752	Salasmaviridae
chick_phage_753	Salasmaviridae
chick_phage_754	Rountreeviridae
chick_phage_755	Salasmaviridae
chick_phage_756	Salasmaviridae
chick_phage_757	Rountreeviridae
chick_phage_758	Rountreeviridae
chick_phage_759	Salasmaviridae
chick_phage_760	Salasmaviridae
chick_phage_761	Salasmaviridae
chick_phage_762	Salasmaviridae
chick_phage_763	Salasmaviridae
chick_phage_764	Rountreeviridae
chick_phage_765	Salasmaviridae
chick_phage_766	Salasmaviridae
chick_phage_767	Salasmaviridae
chick_phage_768	Orlajensenviridae
chick_phage_769	Guelinviridae
chick_phage_770	Podoviridae
chick_phage_771	Rountreeviridae
chick_phage_772	Orlajensenviridae
chick_phage_773	Salasmaviridae
chick_phage_774	Rountreeviridae
chick_phage_775	Guelinviridae
chick_phage_776	Orlajensenviridae
chick_phage_777	Guelinviridae
chick_phage_778	Orlajensenviridae
chick_phage_779	Peduoviridae
chick_phage_780	Orlajensenviridae
chick_phage_781	Salasmaviridae
chick_phage_782	Salasmaviridae
chick_phage_783	Salasmaviridae
chick_phage_784	Rountreeviridae
chick_phage_785	Salasmaviridae
chick_phage_786	Rountreeviridae
chick_phage_787	Peduoviridae
chick_phage_788	Rountreeviridae
chick_phage_789	Rountreeviridae
chick_phage_790	Peduoviridae
chick_phage_791	Salasmaviridae
chick_phage_792	Guelinviridae
chick_phage_793	Rountreeviridae
chick_phage_794	Casjensviridae
chick_phage_795	Rountreeviridae
chick_phage_796	Orlajensenviridae
chick_phage_797	Orlajensenviridae
chick_phage_798	Salasmaviridae
chick_phage_799	Salasmaviridae
chick_phage_800	Orlajensenviridae
chick_phage_801	Rountreeviridae
chick_phage_802	Salasmaviridae
chick_phage_803	Casjensviridae
chick_phage_804	Salasmaviridae
chick_phage_805	Orlajensenviridae
chick_phage_806	Podoviridae
chick_phage_807	Salasmaviridae
chick_phage_808	Orlajensenviridae
chick_phage_809	Orlajensenviridae
chick_phage_810	Casjensviridae
chick_phage_811	Salasmaviridae
chick_phage_812	Salasmaviridae
chick_phage_813	Orlajensenviridae
chick_phage_814	Myoviridae
chick_phage_815	Salasmaviridae
chick_phage_816	Orlajensenviridae
chick_phage_817	Rountreeviridae
chick_phage_818	Salasmaviridae
chick_phage_819	Casjensviridae
chick_phage_820	Rountreeviridae
chick_phage_821	Rountreeviridae
chick_phage_822	Salasmaviridae
chick_phage_823	Peduoviridae
chick_phage_824	Salasmaviridae
chick_phage_825	Salasmaviridae
chick_phage_826	Orlajensenviridae
chick_phage_827	Salasmaviridae
chick_phage_828	Rountreeviridae
chick_phage_829	Rountreeviridae
chick_phage_830	Salasmaviridae
chick_phage_831	Salasmaviridae
chick_phage_832	Salasmaviridae
chick_phage_833	Casjensviridae
chick_phage_834	Myoviridae
chick_phage_835	Salasmaviridae
chick_phage_836	Casjensviridae
chick_phage_837	Salasmaviridae
chick_phage_838	Salasmaviridae
chick_phage_839	Salasmaviridae
chick_phage_840	Rountreeviridae
chick_phage_841	Siphoviridae
chick_phage_842	Rountreeviridae
chick_phage_843	Salasmaviridae
chick_phage_844	Salasmaviridae
chick_phage_845	Salasmaviridae
chick_phage_846	Salasmaviridae
chick_phage_847	Rountreeviridae
chick_phage_848	Rountreeviridae
chick_phage_849	Podoviridae
chick_phage_850	Peduoviridae
chick_phage_851	Rountreeviridae
chick_phage_852	Salasmaviridae
chick_phage_853	Salasmaviridae
